id,Kichwa,Español
1,Abya yala, Continente americano 
2,Abyalami chawchuri rikurimanta, Racismo en América 
3,ACCIDENTES GEOGRAFICOS, ALLPAPI TIYASHKAKUNA 
4,Acequia, Wayku 
5,Achachilasa- ñawpa kawsakkuna kitsil, Antepasados 
6,Achik, Claro- luz 
7,Achik mama, Madrina 
8,Achik wawa, Ahijado- ahijada 
9,Achik yaya / achik tayta, Padrino 
10,Achiksamaytu, Ozono 
11,Achikshumaytu, Ozono 
12,Achikyachina (yuyaymanta), Aclarar 
13,Achikyana (punchamanta), Aclarar 
14,Achka, mucho 
15,Achkak, Suficiente 
16,Ahak, Ofensor 
17,Ahay, Ofender- ofensa 
18,Akapi, Cebada 
19,Akcha, Pelo- cabello 
20,Akcha kara, Cuero cabelludo 
21,Akllashka chani, Muestra Estadística 
22,Akllawarmi, Virgen 
23,Akllay, escoger 
24,Akna, Ceremonia 
25,Akna, Ceremonia 
26,Akukutinchik, Múltiplo del gramo 
27,Akuna, Masticar 
28,Akuy, Vil 
29,Alakay, Alcanzar 
30,Alapana, pegar- adherir 
31,Alaparina, Apegarse- aferrarse 
32,Allana, Excavar 
33,Allawka, Derecha mano 
34,Allawka- alliman, Derecho 
35,Alli, Bien- bueno 
36,Alli maki, Mano derecha 
37,Allichi, adorno 
38,Allichina, Arreglar 
39,Allichiy, Arreglar 
40,Allikachina, Gustar 
41,Allikay, Salud- Bneficio 
42,Allikillkay, Ortografía. 
43,Allikillkay (W), Ortografía 
44,Allimanta, despacio- de buena manera 
45,Allimikuy, Nutrición 
46,Allin, Magnifico 
47,Alliyana, Sanar- curar 
48,Alliyay, Recuperar la salud 
49,Allku, Perro 
50,Allpa, Tierra- suelo 
51,Allpa kara, Corteza terrestre 
52,Allpa khiwa, Hierba rastrera 
53,Allpachawpipacha muyuy, Línea ecuatorial 
54,Allpachinkari, Erosión 
55,Allpachinkariy, Erosión 
56,Allpachukchuy, Temblor 
57,Allpakamay saywachi, Geografía política 
58,Allpakutik, Movimiento de nutación 
59,Allpamama chaska, Planeta tierra 
60,Allpamamakamay, Geografía 
61,Allpamamapi rikuchi, Ubicación Geográfica 
62,Allpampay, Superficie de la tierra 
63,Allpamuyuy, Movimiento de traslación 
64,Allpanpa, Superficial 
65,Allpapacha, Continente 
66,Allpapachakak, Natural 
67,Allpapachapampa, Superficie de la tierra 
68,Allpapachapi tiyak chalwakuna, Recursos Ictiológicos 
69,Allpapachapi tiyak chukikuna, Recursos Mineros 
70,Allpapachapi tiyak yakukuna, Recursos hidrográfico 
71,Allpapachapi tiyak yurakuna, Recursos Forestales 
72,Allpapachapi tiyakuna, Recursos naturales 
