,Kichwa,Spanish
0,abya yala,continente americano
1,abyalami chawchuri rikurimanta,racismo en américa
2,accidentes geograficos,allpapi tiyashkakuna
3,acequia,wayku
4,"achachilasa, ñawpa kawsakkuna kitsil",antepasados
5,achik,"claro, luz"
6,achik mama,madrina
7,achik wawa,"ahijado, ahijada"
8,achik yaya / achik tayta,padrino
9,achiksamaytu,ozono
10,achikshumaytu,ozono
11,achikyachina (yuyaymanta),aclarar
12,achikyana (punchamanta),aclarar
13,achka,mucho
14,achkak,suficiente
15,ahak,ofensor
16,ahay,"ofender, ofensa"
17,akapi,cebada
18,akcha,"pelo, cabello"
19,akcha kara,cuero cabelludo
20,akllashka chani,muestra estadística
21,akllawarmi,virgen
22,akllay,escoger
23,akna,ceremonia
24,akna,ceremonia
25,akukutinchik,múltiplo del gramo
26,akuna,masticar
27,akuy,vil
28,alakay,alcanzar
29,alapana,"pegar, adherir"
30,alaparina,"apegarse, aferrarse"
31,allana,excavar
32,allawka,derecha (mano
33,"allawka, alliman",derecho
34,alli,"bien, bueno"
35,alli maki,mano derecha
36,allichi,adorno
37,allichina,arreglar
38,allichiy,arreglar
39,allikachina,gustar
40,allikay,"salud, bneficio"
41,allikillkay,ortografía.
42,allikillkay (w),ortografía
43,allimanta,"despacio, de buena manera"
44,allimikuy,nutrición
45,allin,magnifico
46,alliyana,"sanar, curar"
47,alliyay,recuperar la salud
48,allku,perro
49,allpa,"tierra, suelo"
50,allpa kara,corteza terrestre
51,allpa khiwa,hierba rastrera
52,allpachawpipacha muyuy,línea ecuatorial
53,allpachinkari,erosión
54,allpachinkariy,erosión
55,allpachukchuy,temblor
56,allpakamay saywachi,geografía política
57,allpakutik,movimiento de nutación
58,allpamama chaska,planeta tierra
59,allpamamakamay,geografía
60,allpamamapi rikuchi,ubicación geográfica
61,allpampay,superficie de la tierra
62,allpamuyuy,movimiento de traslación
63,allpanpa,superficial
64,allpapacha,continente
65,allpapachakak,natural
66,allpapachapampa,superficie de la tierra
67,allpapachapi tiyak chalwakuna,recursos ictiológicos
68,allpapachapi tiyak chukikuna,recursos mineros
69,allpapachapi tiyak yakukuna,recursos hidrográfico
70,allpapachapi tiyak yurakuna,recursos forestales
71,allpapachapi tiyakuna,recursos naturales
72,allpapiruruy,movimiento de rotación
73,allparantikillka,escritura
74,allpashuyu,mapa
75,allpashuyukamay,cartografía
76,allpawaklliyay,erosión
77,allpawira,petróleo
78,"allpawira, wisisi",petróleo
79,allpawku,subterráneo
80,allpañan,vía terrestre
81,allpañutuchina,desterronar
82,almut,almud (25 lib
83,ama llulla,honestidad
84,amapuna,traer
85,amaru,serpiente
86,amawta,científico
87,amawta yachay,contenido científico
88,amawtay,ciencia
89,amañana,adaptar
90,"amañana, yacharina",adaptar
91,amañarina,adaptarse
92,amañariy,adaptación
93,amita,sopa
94,ampana,bostezar
95,amsa,opaco
96,amsayana,ocultar el sol
97,amukay,suavidad
98,amulliy,poner algo en la boca
99,ana,lunar
100,anaku,falda
101,"anchachilasa, ñawpa kawsakkuna",antepasados
102,anchakuyay,pasión de vehemencia amorosa
103,anchallpa,globo terráqueo
104,anchallpakamay,geopolítica
105,anchayupay,importancia
106,anchuchina,"quitar, sustraer"
107,anchuchiy,quitar
108,anchuna,"irse de casa, moverse de sitio"
109,anchuriy,retirarse
110,anchuy,retirada
111,anka,gallinazo
112,ankana,volar
113,ankas,azul
114,ankas tapa wara,blue jean
115,ankay,ceremonial
116,ankichik,radio emisor
117,ankiyachik,radio receptor
118,anku,"vena, arteria"
119,ankuyana,marchitarse envecer
120,anta,metal
121,antaki,plomo
122,antakullki,monedas
123,antanikik,computadora
124,antanikik chaski,correo electrónico
125,antapachachik,reloj mecánico
126,antawa,"coche, carro"
127,antayari,radio
128,antayay,metalúrgico
129,antisuyu,región amazónica
130,apana,llevar
131,apanakuy,llevarse - relacionarse
132,apankara,cáncer(enfermedad
133,apankura,cáncer (signo
134,aparikanta,medios de transporte
135,aparina,cargar
136,apariykancha,medios de transporte
137,apay,"guiar, conducir"
138,api,"colada, mazamorra"
139,apuk,ancestros
140,apuk,líder-autoridad
141,apukkuna,autoridades
142,apukkuna tantaripacha,período de integración
143,apukkuna tantatripacha,período de integración
144,apuktukushka,emperador
145,apunchik,dios
146,apunchikamay,religión
147,apunchikwasi,iglesia
148,apuskachak,soberbio
149,apyayala,continente americano
150,apyayalapi chawchuri rikurimanta,racismo en américa
151,apyu,caballo
152,arawik,poeta
153,arena,thiyu / illul
154,arina,estrenar
155,arinichina,convencer
156,arinina,"acceder, consentir"
157,arininakuy,"acuerdo, tratado"
158,arininakuy,"acuerdos, tratados"
159,arma,ayñi
160,armana,bañar
161,ashanka,canasto
162,ashankayrumpa,básquet
163,ashnana,oler
164,ashtarina,"mobilizarse, transportarse, moverse."
165,asichik,hazmereír
166,asichisiki,chistoso
167,asina,reír
168,asinayay,"chistoso, que causa risa"
169,asipayak,burlón
170,aspi,guión
171,aspina,"rascar, subrayar,"
172,atallpa,gallina
173,atam,"parásito,"
174,ataw,jóvez.
175,atawchay,fortuna
176,atawchayuk,afortunado
177,atina,vencer
178,atipay,conquista
179,atiy,poder
180,atsiyana,estornudar
181,atuk,lobo
182,atukamay,industria
183,atukay,industria
184,atukayashka pukuy,producción industrial
185,atyak,babosa
186,awaki,lunes
187,awaki puncha,lunes
188,awana,tejer
189,awayllamkay,obraje
190,awika,variedad
191,awka,"militar, soldado"
192,awkakancha,ejército
193,awkarik puncha,martes
194,awkaruna,pagano
195,awkawasi,cuartel
196,awki,"principe, noble"
197,aya uma,"personaje mitologico que lidera el inti raymi, materializacion de las energias de la pacha mama"
198,aycha,carne
199,aycha / ukku,"carne, cuerpo"
200,ayllu,familia
201,ayllu chariy,poseer familia
202,ayllu shuti,apellidos (antroponimio
203,ayllullanikipushak,monarquía
204,ayllumallki,arbol genealógico
205,ayllunikiyashka,grados de afinidad
206,aymuray,mayo
207,aymuray killa,mayo
208,aynikuy,participación
209,aynina,convivir
210,ayninakuy,participativa
211,ayriwa,abril
212,ayriwa killa,abril
